Gene	citekey	Tier	QC	Novel
NOTCH2	zhangGeneticHeterogeneityDiffuse2013	1	NA	TRUE
NPHP1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
NPY2R	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
NRXN2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
NSD1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ONECUT1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
OSBPL10	zhangGeneticHeterogeneityDiffuse2013	1	NA	TRUE
PADI1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PAPPA2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PBX1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PCCB	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PCDH7	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PCDHB1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PCDHB15	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PCDHB3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PCDHB5	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PCDHGA2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PDE1C	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PDGFRA	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PDIA2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PDZRN3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PDZRN4	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PIK3CD	zhangGeneticHeterogeneityDiffuse2013	2	NA	TRUE
PIK3R1	zhangGeneticHeterogeneityDiffuse2013	2	NA	TRUE
PIM1	pasqualucciHypermutationMultipleProtooncogenes2001a	1	NA	FALSE
PLA2G4B	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PLEKHA7	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PNLIPRP1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PNPT1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
POLE	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
POU2F2	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
PPARGC1A	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PPWD1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PRDM1	pasqualucciInactivationPRDM1BLIMP12006a	1	NA	FALSE
PRDM16	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PRKCB1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PRKCQ	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PROS1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PRSS7	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PTPN14	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PTPRF	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PTPRT	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
PXK	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
RAB3GAP1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
RAPGEF2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
RBM15B	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
RELN	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
RFC1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
RGS1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
RHOA	zhangGeneticHeterogeneityDiffuse2013	1	NA	TRUE
ROR2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
RSL1D1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
RUNDC1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
RYR1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
SAPS3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
SCYL1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
SEMA3A	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
SEMA3D	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
SEMA5A	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
SERINC2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
SETD2	zhangGeneticHeterogeneityDiffuse2013	2	NA	TRUE
SGK1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SH3PXD2B	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
SHMT2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
SIGLEC10	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
